Identifier,DISTRICT NAME:कृपया अपना विवरण चुनें,gender,1a_grit_localtravel,1b_grit_localtravel,2a_grit_errands,2b_grit_errands,3a_grit_publicspeaking,3b_grit_publicspeaking,4a_grit_discussion,4b_grit_discussion,5a_grit_persevered,5b_grit_persevered,6a_tnt_extraleadership,6b_tnt_extraleadership,7a_tnt_newskill,7b_tnt_newskill,8a_tnt_helpingothers,8b_tnt_helpingothers,9a_tnt_risktaking,9b_tnt_risktaking,10a_tnt_project,10b_tnt_project
,DEHRADUN,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,(b) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला
,DEHRADUN,लड़का,(d) नहीं,(b) मन नहीं था,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी","(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(a) हाँ,
,DEHRADUN,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(a) हाँ,
,DEHRADUN,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(a) हाँ,
,DEHRADUN,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(a) हाँ,
,DEHRADUN,लड़का,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(a) हाँ,
,DEHRADUN,लड़का,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,(d) नहीं,(b) मन नहीं था,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(b) नहीं,(b) मन नहीं था
,DEHRADUN,लड़का,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,(d) नहीं,(b) मन नहीं था,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,(b) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी
,DEHRADUN,लड़का,"(c) हाँ, एक या दो बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(b) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी
24,DEHRADUN,लड़की,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(d) नहीं,(b) मन नहीं था,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(a) हाँ,
